"neo","pha","diameter","e","a","w","per_y"
Y,Y,,0.4826,1.047,354.18,1.07
Y,Y,,0.6377,2.32,208.51,3.53
Y,Y,,0.5931,2.085,290.39,3.01
Y,Y,,0.3118,1.412,199.09,1.68
Y,Y,0.740,0.4080,1.566,130.70,1.96
Y,Y,1.199,0.7907,2.445,286.38,3.82
Y,Y,0.320,0.4145,1.273,277.51,1.44
Y,Y,0.407,0.4669,0.8115,224.47,0.731
Y,Y,0.4,0.5266,1.642,202.58,2.1
Y,Y,,0.7776,0.7967,212.47,0.711
Y,Y,,0.5408,1.389,274.41,1.64
Y,Y,0.187,0.3307,1.269,130.31,1.43
Y,Y,0.780,0.3101,1.412,176.24,1.68
Y,Y,,0.5515,0.8757,254.26,0.82
Y,Y,,0.7531,2.89,246.32,4.91
Y,Y,,0.3399,0.7533,156.64,0.654
Y,Y,0.4,0.4305,1.157,273.57,1.24
Y,Y,,0.4230,0.8621,109.83,0.8
Y,Y,0.654,0.4991,1.049,72.16,1.08
Y,Y,,0.6223,1.907,71.47,2.63
Y,Y,,0.3996,1.634,156.36,2.09
Y,Y,0.595,0.5095,0.9539,58.06,0.932
Y,Y,,0.5768,2.235,139.55,3.34
Y,Y,,0.6508,2.133,82.65,3.11
Y,Y,,0.5680,1.401,296.23,1.66
Y,Y,,0.0914,0.9327,118.24,0.901
Y,Y,,0.4401,0.8791,309.39,0.824
Y,Y,,0.2432,0.9357,318.72,0.905
Y,Y,,0.6768,2.69,246.80,4.41
Y,Y,,0.3739,1.543,153.86,1.92
Y,Y,,0.5360,1.284,274.69,1.46
Y,Y,,0.4099,1.38,293.37,1.62
Y,Y,,0.3731,1.252,249.54,1.4
Y,Y,0.204,0.3766,1.573,197.01,1.97
Y,Y,,0.5900,1.984,115.50,2.79
Y,Y,,0.5830,1.961,100.31,2.75
Y,Y,0.40,0.0828,0.9598,235.92,0.94
Y,Y,,0.5957,1.537,83.97,1.91
Y,Y,,0.7466,1.985,94.21,2.8
Y,Y,,0.5703,0.8727,156.05,0.815
Y,Y,,0.2780,1.19,84.21,1.3
Y,Y,,0.5349,2.225,206.15,3.32
Y,Y,0.496,0.4258,1.323,105.46,1.52
Y,Y,,0.5816,1.168,254.94,1.26
Y,Y,,0.2026,1.118,206.01,1.18
Y,Y,,0.2567,1.072,119.35,1.11
Y,Y,,0.6565,2.09,68.22,3.02
Y,Y,,0.2382,1.145,245.63,1.23
Y,Y,,0.5343,2.102,333.18,3.05
Y,Y,0.432,0.3296,1.285,250.24,1.46
Y,Y,0.255,0.4001,1.651,9.71,2.12
Y,Y,,0.6149,1.382,285.97,1.63
Y,Y,,0.4025,1.502,311.54,1.84
Y,Y,,0.2784,1.355,356.21,1.58
Y,Y,,0.5383,1.084,342.14,1.13
Y,Y,,0.5972,1.875,47.60,2.57
Y,Y,,0.5123,1.841,157.25,2.5
Y,Y,,0.4653,1.545,53.27,1.92
Y,Y,,0.6956,2.152,67.74,3.16
Y,Y,0.4,0.4787,1.54,105.34,1.91
Y,Y,,0.3568,1.373,321.87,1.61
Y,Y,0.558,0.4292,1.356,298.65,1.58
Y,Y,0.578,0.5298,0.8198,322.44,0.742
Y,Y,,0.0901,1.076,64.96,1.12
Y,Y,,0.4278,1.786,192.81,2.39
Y,Y,,0.5031,1.215,280.30,1.34
Y,Y,,0.2209,1.239,179.77,1.38
Y,Y,1.876,0.3369,0.7812,60.17,0.691
Y,Y,0.152,0.7240,1.586,228.81,2
Y,Y,,0.7787,1.681,253.45,2.18
Y,Y,,0.5522,1.903,114.76,2.63
Y,Y,0.371,0.5252,1.976,193.53,2.78
Y,Y,,0.7549,0.6766,29.69,0.557
Y,Y,,0.6020,1.048,252.05,1.07
Y,Y,0.674,0.0739,1.03,322.12,1.04
Y,Y,0.212,0.1709,0.9893,61.94,0.984
Y,Y,,0.4615,1.087,256.10,1.13
Y,Y,0.859,0.4508,1.815,13.19,2.44
Y,Y,0.386,0.1397,1.025,259.97,1.04
Y,Y,,0.3883,1.424,54.04,1.7
Y,Y,,0.6178,2.479,328.83,3.9
Y,Y,,0.6005,1.245,243.48,1.39
Y,Y,,0.6151,1.555,81.02,1.94
Y,Y,1.515,0.5701,2.005,219.54,2.84
Y,Y,0.230,0.2692,1.293,135.69,1.47
Y,Y,1.050,0.4975,1.653,59.66,2.12
Y,Y,,0.6359,2.69,62.85,4.41
Y,Y,,0.9266,1.266,149.68,1.43
Y,Y,,0.6053,2.387,145.03,3.69
Y,Y,,0.4459,1.099,73.82,1.15
Y,Y,,0.4164,1.298,251.27,1.48
Y,Y,,0.2799,1.286,220.77,1.46
Y,Y,,0.5561,1.957,244.66,2.74
Y,Y,0.986,0.6205,1.931,67.45,2.68
Y,Y,,0.3002,0.9165,290.96,0.877
Y,Y,,0.4392,1.726,316.99,2.27
Y,Y,,0.2667,0.9316,115.76,0.899
Y,Y,,0.3952,1.728,167.82,2.27
Y,Y,0.520,0.6456,1.543,76.83,1.92
Y,Y,,0.7629,2.107,107.91,3.06
Y,Y,,0.7814,1.31,238.33,1.5
Y,Y,,0.3269,1.501,103.28,1.84
Y,Y,,0.3174,1.38,334.21,1.62
Y,Y,,0.3933,1.405,118.30,1.67
Y,Y,0.811,0.0756,1.105,37.14,1.16
Y,Y,,0.1837,1.053,101.91,1.08
Y,Y,1.359,0.6051,2.314,224.23,3.52
Y,Y,,0.5737,1.707,290.70,2.23
Y,Y,0.367,0.9092,1.222,27.44,1.35
Y,Y,0.663,0.4625,1.692,333.21,2.2
Y,Y,1.060,0.8734,1.542,71.27,1.91
Y,Y,,0.4334,1.297,276.61,1.48
Y,Y,0.366,0.5131,1.963,323.53,2.75
Y,Y,,0.7761,1.365,59.34,1.59
Y,Y,,0.3917,1.592,219.79,2.01
Y,Y,0.451,0.4922,1.545,106.80,1.92
Y,Y,0.293,0.3803,0.8497,306.76,0.783
Y,Y,,0.2245,1.308,1.43,1.5
Y,Y,0.412,0.4500,1.898,193.37,2.61
Y,Y,0.724,0.4897,1.568,66.37,1.96
Y,Y,0.462,0.2733,0.8645,328.63,0.804
Y,Y,,0.9564,2.507,210.98,3.97
Y,Y,,0.5171,2.044,348.15,2.92
Y,Y,,0.4780,1.452,63.61,1.75
Y,Y,,0.2866,0.8245,72.06,0.749
Y,Y,,0.6801,0.9383,314.29,0.909
Y,Y,,0.7314,1.373,120.90,1.61
Y,Y,,0.4480,1.481,87.81,1.8
Y,Y,,0.5457,1.919,280.94,2.66
Y,Y,,0.3776,1.341,108.11,1.55
Y,Y,0.554,0.5742,1.924,221.65,2.67
Y,Y,,0.4430,1.316,257.46,1.51
Y,Y,1.457,0.7190,2.911,120.41,4.97
Y,Y,,0.2900,1.442,162.81,1.73
Y,Y,,0.3814,0.7767,321.97,0.685
Y,Y,,0.5697,0.9362,127.80,0.906
Y,Y,,0.5219,1.12,116.16,1.18
Y,Y,0.369,0.1992,0.9231,295.87,0.887
Y,Y,1.974,0.7597,3.201,238.62,5.73
Y,Y,,0.3352,1.321,142.29,1.52
Y,Y,,0.6537,2.122,284.98,3.09
Y,Y,,0.3676,0.7411,153.08,0.638
Y,Y,,0.4573,1.746,216.12,2.31
Y,Y,,0.1599,1.077,104.80,1.12
Y,Y,,0.7346,1.865,290.71,2.55
Y,Y,0.906,0.4975,1.193,258.31,1.3
Y,Y,,0.4872,1.727,143.76,2.27
Y,Y,,0.5503,0.7111,327.93,0.6
Y,Y,,0.1274,1.199,214.22,1.31
Y,Y,,0.3935,1.601,136.69,2.03
Y,Y,0.418,0.5956,2.458,344.15,3.85
Y,Y,,0.2658,1.25,135.44,1.4
Y,Y,,0.6999,1.876,269.12,2.57
Y,Y,,0.1977,1.262,173.88,1.42
Y,Y,0.890,0.4408,1.486,297.64,1.81
Y,Y,,0.3365,1.459,155.53,1.76
Y,Y,,0.6252,2.089,121.96,3.02
Y,Y,,0.1064,1.006,256.77,1.01
Y,Y,0.459,0.2002,1.225,9.66,1.36
Y,Y,0.357,0.0754,1.004,109.26,1.01
Y,Y,0.982,0.6720,2.548,322.42,4.07
Y,Y,,0.2347,1.283,149.66,1.45
Y,Y,0.176,0.2865,0.8537,188.09,0.789
Y,Y,0.619,0.5919,1.999,110.25,2.83
Y,Y,,0.6180,2.592,5.23,4.17
Y,Y,0.202,0.4502,1.85,164.37,2.52
Y,Y,,0.4047,1.472,304.87,1.79
Y,Y,,0.2435,1.257,59.70,1.41
Y,Y,,0.8703,0.9117,159.94,0.871
Y,Y,,0.4922,1.942,19.24,2.71
Y,Y,,0.1702,1.121,253.00,1.19
Y,Y,,0.6999,2.503,251.27,3.96
Y,Y,,0.5956,2.416,355.68,3.75
Y,Y,,0.8067,2.201,84.80,3.27
Y,Y,,0.7547,1.95,263.66,2.72
Y,Y,0.259,0.2009,1.077,84.52,1.12
Y,Y,0.528,0.7679,1.896,65.37,2.61
Y,Y,,0.7627,1.645,241.66,2.11
Y,Y,,0.1347,1.063,225.21,1.1
Y,Y,,0.5311,0.6352,353.01,0.506
Y,Y,0.310,0.3553,1.264,265.78,1.42
Y,Y,,0.3666,1.49,188.81,1.82
Y,Y,,0.4382,1.495,299.51,1.83
Y,Y,,0.6319,2.604,207.62,4.2
Y,Y,,0.5285,2.012,161.00,2.85
Y,Y,0.622,0.6989,2.971,317.00,5.12
Y,Y,2.159,0.6081,2.635,190.72,4.28
Y,Y,,0.3767,1.62,8.83,2.06
Y,Y,,0.4864,1.231,87.27,1.37
Y,Y,,0.3126,0.9633,260.92,0.945
Y,Y,,0.6653,0.674,9.20,0.553
Y,Y,,0.6638,2.198,107.12,3.26
Y,Y,,0.8234,1.914,19.11,2.65
Y,Y,,0.2931,1.209,130.31,1.33
Y,Y,,0.5434,1.859,140.53,2.53
Y,Y,,0.4745,1.154,33.25,1.24
Y,Y,,0.5437,2.112,186.57,3.07
Y,Y,,0.5499,1.023,50.59,1.03
Y,Y,,0.3692,1.236,105.79,1.37
Y,Y,,0.4302,1.681,223.36,2.18
Y,Y,,0.5625,1.995,133.90,2.82
Y,Y,0.228,0.3701,1.004,252.09,1.01
Y,Y,0.695,0.6874,2.928,319.53,5.01
Y,Y,,0.4251,1.666,242.42,2.15
Y,Y,,0.1922,1.035,99.04,1.05
Y,Y,0.288,0.2478,1.26,121.34,1.41
Y,Y,0.228,0.4265,1.76,28.63,2.34
Y,Y,,0.1744,1.07,262.03,1.11
Y,Y,0.437,0.1944,1.07,78.30,1.11
Y,Y,,0.5390,1.494,252.35,1.83
Y,Y,0.762,0.2926,1.306,48.17,1.49
Y,Y,,0.3638,1.478,159.67,1.8
Y,Y,,0.7055,2.237,247.00,3.35
Y,Y,,0.3482,1.459,248.51,1.76
Y,Y,,0.5262,1.709,88.05,2.23
