"neo","pha","diameter","e","a","w","per_y"
Y,Y,,0.6710,2.479,235.33,3.9
Y,Y,,0.3434,1.603,356.71,2.03
Y,Y,,0.5131,1.419,90.33,1.69
Y,Y,,0.0916,1.108,57.91,1.17
Y,Y,,0.5748,1.647,100.36,2.11
Y,Y,0.228,0.4712,0.7143,33.18,0.604
Y,Y,,0.6570,1.871,292.16,2.56
Y,Y,,0.4547,1.391,95.19,1.64
Y,Y,,0.8559,2.029,70.32,2.89
Y,Y,,0.4822,1.848,23.60,2.51
Y,Y,,0.6185,2.65,1.17,4.31
Y,Y,0.205,0.6885,2.627,238.42,4.26
Y,Y,,0.3947,1.5,206.80,1.84
Y,Y,,0.6086,1.406,102.32,1.67
Y,Y,,0.4724,1.494,301.96,1.83
Y,Y,,0.5681,1.972,59.26,2.77
Y,Y,,0.8788,2.496,250.75,3.94
Y,Y,,0.7692,1.489,314.53,1.82
Y,Y,0.371,0.5560,2.148,199.86,3.15
Y,Y,,0.6734,2.722,352.39,4.49
Y,Y,0.192,0.2829,0.8067,174.19,0.725
Y,Y,,0.7581,1.31,230.09,1.5
Y,Y,0.174,0.5337,1.828,223.89,2.47
Y,Y,,0.6506,2.329,88.52,3.56
Y,Y,0.328,0.2801,0.9015,317.03,0.856
Y,Y,,0.5195,1.302,269.30,1.49
Y,Y,,0.5618,2.249,25.34,3.37
Y,Y,0.237,0.8587,1.732,317.66,2.28
Y,Y,0.864,0.6911,3.222,4.02,5.78
Y,Y,,0.2367,1.266,145.16,1.42
Y,Y,,0.6025,1.837,108.49,2.49
Y,Y,,0.5744,2.458,182.39,3.85
Y,Y,,0.8703,1.246,146.27,1.39
Y,Y,,0.4176,1.515,170.10,1.86
Y,Y,,0.0950,1.037,39.33,1.06
Y,Y,,0.6016,2.173,139.37,3.2
Y,Y,,0.5629,1.13,79.20,1.2
Y,Y,1.349,0.6768,2.841,312.41,4.79
Y,Y,0.196,0.6173,2.462,56.57,3.86
Y,Y,,0.4283,1.657,225.47,2.13
Y,Y,,0.5216,1.844,219.02,2.5
Y,Y,,0.5362,1.663,53.85,2.14
Y,Y,,0.7865,2.268,118.31,3.42
Y,Y,,0.6672,2.649,310.10,4.31
Y,Y,,0.2749,1.31,20.54,1.5
Y,Y,,0.1114,0.9603,145.14,0.941
Y,Y,,0.7009,2.751,35.12,4.56
Y,Y,,0.6212,2.705,31.99,4.45
Y,Y,0.188,0.5827,2.408,349.04,3.74
Y,Y,,0.6735,1.622,284.61,2.07
Y,Y,0.281,0.5418,0.8996,129.23,0.853
Y,Y,,0.6452,2.823,24.87,4.74
Y,Y,0.143,0.7929,2.498,114.56,3.95
Y,Y,,0.3007,1.334,244.54,1.54
Y,Y,,0.6322,2.688,18.61,4.41
Y,Y,,0.6861,2.289,241.63,3.46
Y,Y,,0.4062,1.672,320.60,2.16
Y,Y,,0.5425,1.954,214.30,2.73
Y,Y,1.082,0.6650,2.849,342.92,4.81
Y,Y,,0.6420,2.343,219.74,3.59
Y,Y,,0.6899,2.834,218.54,4.77
Y,Y,,0.4888,1.872,140.62,2.56
Y,Y,,0.7684,1.42,224.87,1.69
Y,Y,,0.7513,2.051,276.67,2.94
Y,Y,,0.3868,1.673,305.41,2.16
Y,Y,,0.7545,2.675,285.57,4.38
Y,Y,,0.6694,2.052,279.78,2.94
Y,Y,,0.3402,1.224,247.44,1.35
Y,Y,,0.6450,2.461,319.46,3.86
Y,Y,,0.3946,1.645,188.67,2.11
Y,Y,,0.4489,1.071,81.04,1.11
Y,Y,,0.6254,1.998,121.15,2.82
Y,Y,,0.5298,1.906,304.21,2.63
Y,Y,,0.6400,1.845,107.66,2.51
Y,Y,,0.2689,1.42,176.60,1.69
Y,Y,,0.5567,1.96,224.29,2.74
Y,Y,,0.3688,1.495,329.37,1.83
Y,Y,,0.4826,1.865,359.47,2.55
Y,Y,,0.1127,1.08,15.01,1.12
Y,Y,,0.6073,2.011,128.28,2.85
Y,Y,,0.6922,1.614,254.51,2.05
Y,Y,,0.7229,1.564,71.00,1.96
Y,Y,,0.5308,1.947,43.58,2.72
Y,Y,,0.3058,0.9366,267.55,0.906
Y,Y,,0.6962,2.12,203.48,3.09
Y,Y,,0.5539,2.148,184.81,3.15
Y,Y,,0.4682,1.263,81.80,1.42
Y,Y,,0.6066,1.357,273.92,1.58
Y,Y,,0.4225,1.57,229.19,1.97
Y,Y,,0.6163,2.593,359.23,4.18
Y,Y,,0.5778,2.323,153.55,3.54
Y,Y,,0.7494,2.997,303.87,5.19
Y,Y,,0.8268,1.196,302.28,1.31
Y,Y,,0.5715,1.333,258.38,1.54
Y,Y,,0.4323,1.804,171.85,2.42
Y,Y,,0.7056,2.602,59.10,4.2
Y,Y,,0.4984,1.898,145.79,2.61
Y,Y,,0.6233,2.428,201.56,3.78
Y,Y,,0.5209,2.012,204.61,2.85
Y,Y,,0.3583,1.335,237.59,1.54
Y,Y,,0.5522,1.845,60.51,2.51
Y,Y,,0.3858,1.32,83.13,1.52
Y,Y,,0.5998,1.703,84.99,2.22
Y,Y,,0.6544,2.655,150.94,4.33
Y,Y,,0.5630,2.281,163.86,3.44
Y,Y,,0.5634,2.286,202.81,3.46
Y,Y,,0.4163,1.455,236.21,1.75
Y,Y,,0.3624,1.222,266.72,1.35
Y,Y,,0.6559,2.64,233.17,4.29
Y,Y,,0.7839,1.162,47.46,1.25
Y,Y,,0.6185,2.366,51.37,3.64
Y,Y,,0.4629,1.075,61.96,1.11
Y,Y,,0.3492,0.9065,130.37,0.863
Y,Y,,0.7969,1.537,230.29,1.9
Y,Y,,0.7418,1.61,111.31,2.04
Y,Y,,0.6464,2.637,173.11,4.28
Y,Y,,0.6010,2.634,357.65,4.27
Y,Y,,0.5764,2.322,218.26,3.54
Y,Y,,0.6393,2.445,313.55,3.82
Y,Y,,0.8993,2.514,47.23,3.99
Y,Y,,0.5504,2.328,167.61,3.55
Y,Y,,0.7315,2.418,282.52,3.76
Y,Y,,0.6151,2.44,157.38,3.81
Y,Y,,0.2546,0.9562,228.21,0.935
Y,Y,,0.3296,1.394,71.83,1.65
Y,Y,,0.1215,0.9665,262.43,0.95
Y,Y,,0.2572,0.9761,119.28,0.964
Y,Y,,0.5679,2.358,349.47,3.62
Y,Y,,0.7387,2.232,99.78,3.33
Y,Y,,0.5696,1.809,147.90,2.43
Y,Y,,0.6180,2.47,98.24,3.88
Y,Y,,0.6623,2.857,166.19,4.83
Y,Y,,0.5965,2.398,141.59,3.71
Y,Y,,0.6095,2.464,27.33,3.87
Y,Y,,0.6451,0.888,208.73,0.837
Y,Y,,0.4803,1.838,71.85,2.49
Y,Y,,0.6029,2.482,213.84,3.91
Y,Y,,0.4149,0.8133,222.74,0.733
Y,Y,,0.2962,0.7992,356.58,0.714
Y,Y,,0.5799,2.44,347.74,3.81
Y,Y,,0.6145,1.224,241.40,1.35
Y,Y,,0.6263,2.427,123.16,3.78
Y,Y,,0.4283,1.378,97.82,1.62
Y,Y,,0.4908,2.063,354.91,2.96
Y,Y,,0.2331,1.277,315.31,1.44
Y,Y,,0.6616,2.738,227.37,4.53
Y,Y,,0.4370,1.147,271.05,1.23
Y,Y,,0.5685,2.243,355.52,3.36
Y,Y,,0.6352,1.64,229.07,2.1
Y,Y,,0.4959,1.781,127.19,2.38
Y,Y,,0.6686,2.282,262.94,3.45
Y,Y,,0.3564,1.466,311.20,1.77
Y,Y,,0.2413,1.212,52.16,1.34
Y,Y,,0.6134,2.182,115.46,3.22
Y,Y,,0.4838,1.856,245.01,2.53
Y,Y,,0.8172,2.503,71.23,3.96
Y,Y,,0.6779,3.023,222.12,5.26
Y,Y,,0.5403,1.808,244.38,2.43
Y,Y,,0.6023,1.705,72.45,2.23
Y,Y,,0.5256,1.946,198.21,2.72
Y,Y,,0.2693,1.369,180.82,1.6
Y,Y,,0.5556,2.166,337.13,3.19
Y,Y,,0.4805,1.889,19.05,2.6
Y,Y,,0.5781,1.124,103.19,1.19
Y,Y,,0.5625,2.173,34.22,3.2
Y,Y,,0.6769,1.288,298.21,1.46
Y,Y,,0.5756,2.129,148.18,3.11
Y,Y,,0.5086,1.753,243.11,2.32
Y,Y,,0.5366,1.273,79.04,1.44
Y,Y,,0.4144,1.723,11.41,2.26
Y,Y,,0.6008,2.374,318.64,3.66
Y,Y,,0.2016,0.8094,327.62,0.728
Y,Y,,0.6635,1.994,82.14,2.82
Y,Y,,0.5238,1.808,307.89,2.43
Y,Y,,0.6224,2.47,140.62,3.88
Y,Y,,0.7085,2.821,110.81,4.74
Y,Y,,0.3827,0.8656,303.27,0.805
Y,Y,,0.3991,1.691,21.51,2.2
Y,Y,,0.5445,2.205,192.25,3.27
Y,Y,,0.7376,2.379,286.20,3.67
Y,Y,,0.1162,0.9173,51.05,0.879
Y,Y,,0.4445,1.678,23.13,2.17
Y,Y,,0.3815,1.641,330.25,2.1
Y,Y,,0.5987,2.173,150.65,3.2
Y,Y,,0.5106,1.117,250.80,1.18
Y,Y,,0.5747,2.42,351.30,3.76
Y,Y,,0.8275,2.25,72.13,3.38
Y,Y,,0.4923,1.477,67.84,1.79
Y,Y,,0.6725,2.178,117.99,3.21
Y,Y,,0.0122,1.017,126.79,1.03
Y,Y,,0.6523,2.814,35.10,4.72
Y,Y,,0.4812,2.029,188.80,2.89
Y,Y,,0.6289,2.647,351.14,4.31
Y,Y,,0.4861,1.881,69.56,2.58
Y,Y,,0.3867,1.479,88.86,1.8
Y,Y,,0.8567,2.486,287.73,3.92
Y,Y,,0.4347,1.661,41.32,2.14
Y,Y,,0.5521,1.669,255.80,2.16
Y,Y,,0.5518,1.804,250.63,2.42
Y,Y,,0.7104,2.237,278.50,3.35
Y,Y,,0.5787,1.81,294.95,2.44
Y,Y,,0.4679,1.671,233.19,2.16
Y,Y,,0.2972,1.421,197.86,1.69
Y,Y,,0.8822,1.823,313.24,2.46
Y,Y,,0.2782,0.9541,305.10,0.932
Y,Y,,0.3737,1.666,171.77,2.15
Y,Y,,0.5600,2.221,138.76,3.31
Y,Y,,0.3166,1.068,279.93,1.1
Y,Y,,0.6457,2.782,23.09,4.64
Y,Y,,0.6002,2.632,7.71,4.27
Y,Y,,0.6274,2.776,181.65,4.62
Y,Y,,0.2997,1.355,171.12,1.58
Y,Y,,0.3539,1.551,0.30,1.93
Y,Y,,0.2424,1.251,344.73,1.4
Y,Y,,0.7168,2.075,205.48,2.99
Y,Y,,0.7742,3.388,120.94,6.24
Y,Y,,0.1543,0.9051,351.74,0.861
Y,Y,,0.3273,0.9124,132.31,0.871
Y,Y,,0.6012,2.057,75.48,2.95
Y,Y,,0.7719,1.261,315.61,1.42
Y,Y,,0.5489,1.653,32.31,2.13
Y,Y,,0.6909,3.178,225.09,5.67
Y,Y,,0.6123,2.165,45.28,3.19
Y,Y,,0.6614,1.944,120.01,2.71
Y,Y,,0.7431,3.193,301.55,5.7
Y,Y,,0.6127,2.276,64.96,3.43
Y,Y,,0.5567,2.282,325.48,3.45
Y,Y,,0.7315,1.952,244.53,2.73
Y,Y,,0.6687,2.415,314.37,3.75
Y,Y,,0.6446,2.675,296.41,4.37
Y,Y,,0.2969,1.353,338.31,1.57
Y,Y,,0.7012,2.601,124.87,4.2
Y,Y,,0.3963,1.534,218.64,1.9
Y,Y,,0.8421,2.288,249.23,3.46
Y,Y,,0.7174,2.134,76.64,3.12
Y,Y,,0.6241,2.528,348.29,4.02
Y,Y,,0.4916,1.614,220.07,2.05
Y,Y,,0.4102,1.576,134.68,1.98
Y,Y,,0.6507,1.508,283.70,1.85
Y,Y,,0.6462,2.252,244.85,3.38
Y,Y,,0.5221,1.943,309.58,2.71
Y,Y,,0.6606,2.728,159.48,4.51
Y,Y,,0.6237,2.433,320.63,3.8
Y,Y,,0.2639,1.119,245.74,1.18
Y,Y,,0.4040,1.161,293.40,1.25
Y,Y,,0.6470,2.459,54.40,3.86
Y,Y,,0.8833,2.458,255.25,3.85
Y,Y,,0.6176,2.251,56.93,3.38
Y,Y,,0.4112,0.7396,325.05,0.636
Y,Y,,0.8483,1.192,325.58,1.3
Y,Y,,0.6041,2.061,300.42,2.96
Y,Y,,0.7281,2.054,121.16,2.94
Y,Y,,0.6300,2.55,18.07,4.07
Y,Y,,0.2759,1.265,65.58,1.42
Y,Y,,0.4923,1.082,65.74,1.13
Y,Y,,0.7393,1.68,68.79,2.18
Y,Y,,0.7143,1.337,73.65,1.55
Y,Y,,0.3545,1.561,152.47,1.95
Y,Y,,0.5172,1.78,100.71,2.38
Y,Y,,0.7479,2.452,113.55,3.84
Y,Y,,0.6601,2.851,347.11,4.81
Y,Y,,0.6051,1.843,295.57,2.5
Y,Y,,0.6655,2.317,213.39,3.53
Y,Y,,0.5120,2.044,30.23,2.92
Y,Y,,0.6211,2.176,47.46,3.21
Y,Y,,0.6674,2.431,246.51,3.79
Y,Y,,0.7742,1.528,152.35,1.89
Y,Y,,0.6128,0.7623,150.21,0.666
Y,Y,,0.6287,0.8774,139.94,0.822
Y,Y,,0.2690,0.9739,75.37,0.961
Y,Y,,0.8007,2.614,237.28,4.23
Y,Y,,0.6218,2.368,69.93,3.64
Y,Y,,0.6357,1.864,81.78,2.54
Y,Y,,0.7752,2.004,288.79,2.84
Y,Y,,0.4520,1.89,192.09,2.6
Y,Y,,0.6012,1.689,238.71,2.19
Y,Y,,0.3593,1.126,103.37,1.2
Y,Y,,0.9258,2.232,223.25,3.34
Y,Y,,0.3076,1.462,68.70,1.77
Y,Y,,0.7057,1.604,269.30,2.03
Y,Y,,0.7373,2.278,260.59,3.44
Y,Y,,0.3188,1.536,5.35,1.9
Y,Y,,0.7200,2.63,231.56,4.26
Y,Y,,0.5687,1.98,141.33,2.79
Y,Y,,0.6364,1.821,284.89,2.46
Y,Y,,0.7288,1.73,124.20,2.28
Y,Y,,0.4415,1.749,199.64,2.31
Y,Y,,0.6560,1.517,269.20,1.87
Y,Y,,0.5750,1.148,114.76,1.23
Y,Y,,0.5023,1.635,253.02,2.09
Y,Y,,0.5485,1.712,285.40,2.24
Y,Y,,0.5983,1.897,52.75,2.61
Y,Y,,0.3800,0.9598,297.66,0.94
Y,Y,,0.6032,1.448,256.87,1.74
Y,Y,,0.4725,1.859,350.93,2.53
Y,Y,,0.5963,2.453,13.62,3.84
Y,Y,,0.2386,0.8218,216.12,0.745
Y,Y,,0.8287,2.218,215.03,3.3
Y,Y,,0.6291,2.156,119.11,3.17
Y,Y,,0.4700,1.747,156.84,2.31
Y,Y,,0.4604,1.804,18.41,2.42
Y,Y,,0.6565,2.815,10.88,4.72
Y,Y,,0.5081,2.048,202.30,2.93
Y,Y,,0.5848,2.282,312.53,3.45
Y,Y,,0.7761,1.628,110.83,2.08
Y,Y,,0.6107,2.242,126.10,3.36
Y,Y,,0.4748,1.217,273.02,1.34
Y,Y,,0.2695,1.296,126.31,1.48
Y,Y,,0.3840,0.8828,318.83,0.83
Y,Y,,0.6380,2.653,184.99,4.32
Y,Y,,0.6450,2.486,203.71,3.92
Y,Y,,0.5049,1.589,44.46,2
Y,Y,,0.3855,1.453,304.15,1.75
Y,Y,,0.8462,2.256,301.80,3.39
Y,Y,,0.3272,1.519,155.20,1.87
Y,Y,,0.7355,1.972,257.12,2.77
Y,Y,,0.8401,2.038,288.00,2.91
Y,Y,,0.4391,1.23,89.17,1.36
Y,Y,,0.4137,1.514,219.17,1.86
Y,Y,,0.5730,2.334,204.19,3.57
Y,Y,,0.5581,1.193,99.99,1.3
Y,Y,,0.5527,2.232,22.72,3.33
Y,Y,,0.6272,1.952,74.51,2.73
Y,Y,,0.5428,1.63,228.35,2.08
Y,Y,,0.7441,2.309,104.56,3.51
Y,Y,,0.5815,1.387,272.80,1.63
Y,Y,,0.6132,1.936,244.93,2.69
Y,Y,,0.3554,1.486,342.61,1.81
Y,Y,,0.5459,2.035,68.19,2.9
Y,Y,,0.6291,2.764,0.39,4.59
Y,Y,,0.7158,2.377,232.40,3.67
Y,Y,,0.2602,1.237,52.17,1.38
Y,Y,,0.5959,1.754,257.65,2.32
Y,Y,,0.8916,3.514,18.22,6.59
Y,Y,,0.5509,2.164,167.75,3.18
Y,Y,,0.4088,1.466,130.76,1.77
Y,Y,,0.5035,1.715,111.70,2.25
Y,Y,,0.6708,2.819,199.17,4.73
Y,Y,,0.7096,1.86,98.51,2.54
Y,Y,,0.7487,2.313,252.85,3.52
Y,Y,,0.3443,0.9278,69.01,0.894
Y,Y,,0.4752,1.284,83.42,1.46
Y,Y,,0.6525,2.693,28.04,4.42
Y,Y,,0.4142,1.718,177.76,2.25
Y,Y,,0.4500,0.7658,339.10,0.67
Y,Y,,0.3920,0.7245,9.72,0.617
Y,Y,,0.2807,0.8556,50.17,0.791
Y,Y,,0.6313,2.538,291.22,4.04
Y,Y,,0.7911,2.633,271.00,4.27
Y,Y,,0.6909,2.283,252.61,3.45
Y,Y,,0.8353,2.01,20.08,2.85
Y,Y,,0.6065,2.252,28.00,3.38
Y,Y,,0.4557,1.888,222.83,2.59
Y,Y,,0.5537,2.059,300.32,2.95
Y,Y,,0.8206,2.301,263.22,3.49
Y,Y,,0.6148,1.406,255.83,1.67
Y,Y,,0.4934,1.815,51.90,2.45
Y,Y,,0.6475,1.973,261.66,2.77
Y,Y,,0.6937,2.302,223.91,3.49
Y,Y,,0.5936,2.448,357.23,3.83
Y,Y,,0.8009,1.914,242.17,2.65
Y,Y,,0.8900,3.276,79.52,5.93
Y,Y,,0.4938,1.364,276.10,1.59
Y,Y,,0.7479,2.311,33.01,3.51
Y,Y,,0.4269,1.281,93.02,1.45
Y,Y,,0.5765,2.069,233.27,2.98
Y,Y,,0.6379,2.422,335.37,3.77
Y,Y,,0.0861,0.9389,167.07,0.91
Y,Y,,0.6381,2.253,238.67,3.38
Y,Y,,0.6722,2.464,241.85,3.87
Y,Y,,0.6406,2.452,211.40,3.84
Y,Y,,0.7168,3.052,152.01,5.33
Y,Y,,0.9046,1.833,314.75,2.48
Y,Y,,0.6337,0.9322,325.07,0.9
Y,Y,,0.8309,1.13,134.98,1.2
Y,Y,,0.6533,2.786,208.37,4.65
Y,Y,,0.6077,2.39,135.10,3.69
Y,Y,,0.4466,1.877,7.78,2.57
Y,Y,,0.7020,2.51,302.74,3.98
Y,Y,,0.6567,2.63,250.71,4.27
Y,Y,,0.5892,2.411,214.67,3.74
Y,Y,,0.6472,1.393,107.90,1.64
Y,Y,,0.2129,1.19,18.49,1.3
Y,Y,,0.5768,1.712,258.09,2.24
Y,Y,,0.2703,1.289,147.75,1.46
Y,Y,,0.3780,0.9426,60.81,0.915
Y,Y,,0.0882,1.027,216.83,1.04
Y,Y,,0.5434,2.182,177.45,3.22
Y,Y,,0.7908,2.129,233.34,3.11
Y,Y,,0.7153,2.325,93.16,3.55
Y,Y,,0.4785,1.782,311.28,2.38
Y,Y,,0.7848,2.147,76.88,3.15
Y,Y,,0.8068,2.53,65.68,4.02
Y,Y,,0.7310,2.399,40.85,3.72
Y,Y,,0.5384,1.923,246.78,2.67
Y,Y,,0.8602,3.49,266.31,6.52
Y,Y,,0.6484,2.158,87.51,3.17
Y,Y,,0.5987,2.17,249.55,3.2
Y,Y,,0.6518,2.724,145.39,4.5
Y,Y,,0.5945,2.494,339.92,3.94
Y,Y,,0.6948,3.264,346.88,5.9
Y,Y,,0.3532,1.553,28.88,1.94
Y,Y,,0.4100,1.762,337.65,2.34
Y,Y,,0.4398,1.518,128.57,1.87
Y,Y,,0.6370,2.518,331.92,4
Y,Y,,0.5775,2.452,180.46,3.84
Y,Y,,0.8499,2.538,263.05,4.04
Y,Y,,0.6575,2.831,19.33,4.76
Y,Y,,0.3028,1.089,271.36,1.14
Y,Y,,0.6983,1.788,297.11,2.39
Y,Y,,0.7329,2.408,101.44,3.74
Y,Y,,0.3628,1.589,345.11,2
Y,Y,,0.3057,1.13,34.59,1.2
Y,Y,,0.5456,2.268,356.59,3.42
Y,Y,,0.4908,1.779,161.63,2.37
Y,Y,,0.7974,1.707,79.37,2.23
Y,Y,,0.6113,2.49,330.27,3.93
Y,Y,,0.2931,0.889,44.67,0.838
Y,Y,,0.6015,2.515,348.95,3.99
Y,Y,,0.4767,1.768,213.17,2.35
Y,Y,,0.3061,1.343,224.28,1.56
Y,Y,,0.6144,2.472,29.13,3.89
Y,Y,,0.4948,2.02,167.57,2.87
Y,Y,,0.6134,2.376,334.18,3.66
Y,Y,,0.7042,2.834,316.39,4.77
Y,Y,,0.1017,1.059,84.50,1.09
Y,Y,,0.4984,2.003,125.53,2.83
Y,Y,,0.6522,1.932,275.93,2.68
Y,Y,,0.7946,1.956,50.09,2.73
Y,Y,,0.5727,2.414,21.53,3.75
Y,Y,,0.5477,2.216,6.66,3.3
Y,Y,,0.6024,1.982,71.20,2.79
Y,Y,,0.7390,2.209,78.73,3.28
Y,Y,,0.5854,1.88,301.63,2.58
Y,Y,,0.1624,1.16,172.42,1.25
Y,Y,,0.6568,2.435,125.96,3.8
Y,Y,,0.7030,3.074,39.65,5.39
Y,Y,,0.5170,2.015,168.96,2.86
Y,Y,,0.7203,2.598,66.90,4.19
Y,Y,,0.6154,2.639,305.61,4.29
Y,Y,,0.7012,2.391,81.22,3.7
Y,Y,,0.7327,1.382,261.81,1.62
Y,Y,,0.6970,2.633,134.29,4.27
Y,Y,,0.7396,1.531,96.56,1.89
Y,Y,,0.5403,1.757,225.10,2.33
Y,Y,,0.5572,2.228,202.55,3.33
Y,Y,,0.6861,1.803,101.29,2.42
Y,Y,,0.7582,2.169,87.23,3.19
Y,Y,,0.2869,1.332,221.52,1.54
Y,Y,,0.5119,2.145,188.64,3.14
Y,Y,,0.6668,2.7,126.16,4.44
Y,Y,,0.7341,2.618,112.66,4.24
Y,Y,,0.7084,2.814,69.19,4.72
Y,Y,,0.6061,1.686,278.61,2.19
Y,Y,,0.3515,1.523,323.97,1.88
Y,Y,,0.7441,1.925,104.04,2.67
Y,Y,,0.6649,2.588,122.36,4.16
Y,Y,,0.3763,1.506,49.73,1.85
Y,Y,,0.1936,1.189,215.04,1.3
Y,Y,,0.3166,1.057,110.57,1.09
Y,Y,,0.6755,1.122,132.15,1.19
Y,Y,,0.6837,3.287,168.82,5.96
Y,Y,,0.5766,1.595,76.60,2.02
Y,Y,,0.9358,2.463,42.52,3.87
Y,Y,,0.1036,1.119,235.67,1.18
Y,Y,,0.5245,2.118,154.29,3.08
Y,Y,,0.3549,1.519,20.65,1.87
Y,Y,,0.3662,0.9611,81.17,0.942
Y,Y,,0.6472,2.803,183.57,4.69
Y,Y,,0.7140,1.727,159.69,2.27
Y,Y,,0.1956,0.8924,20.79,0.843
Y,Y,,0.8827,2.589,236.70,4.17
Y,Y,,0.2880,0.8077,198.99,0.726
Y,Y,,0.6213,0.631,358.10,0.501
Y,Y,,0.2548,1.276,132.84,1.44
Y,Y,,0.5747,2,310.93,2.83
Y,Y,,0.5955,2.455,172.12,3.85
Y,Y,,0.8688,2.293,295.20,3.47
Y,Y,,0.6033,2.423,23.85,3.77
Y,Y,,0.4086,1.558,15.11,1.95
Y,Y,,0.6006,0.8726,214.69,0.815
Y,Y,,0.6494,2.716,330.54,4.48
Y,Y,,0.3133,0.83,145.39,0.756
Y,Y,,0.6672,1.847,267.88,2.51
Y,Y,,0.5840,2.486,194.31,3.92
Y,Y,,0.6400,2.637,156.51,4.28
Y,Y,,0.3941,1.563,357.35,1.95
Y,Y,,0.7341,3.494,319.61,6.53
Y,Y,,0.4351,1.792,350.14,2.4
Y,Y,,0.7106,1.21,126.31,1.33
Y,Y,,0.6359,2.39,232.54,3.69
Y,Y,,0.5982,2.474,16.82,3.89
Y,Y,,0.7792,1.787,284.85,2.39
Y,Y,,0.6970,2.379,290.62,3.67
Y,Y,,0.4051,1.467,324.97,1.78
Y,Y,,0.8074,1.543,129.59,1.92
Y,Y,,0.2105,1.25,328.42,1.4
Y,Y,,0.5837,2.203,216.55,3.27
Y,Y,,0.3434,1.307,114.90,1.5
Y,Y,,0.1339,1.115,162.36,1.18
Y,Y,,0.6776,2.519,116.32,4
Y,Y,,0.4210,1.639,133.29,2.1
Y,Y,,0.7454,2.753,67.91,4.57
Y,Y,,0.6987,2.84,138.35,4.79
Y,Y,,0.7599,2.037,111.08,2.91
Y,Y,,0.6677,2.149,108.48,3.15
Y,Y,,0.7254,1.921,99.00,2.66
Y,Y,,0.5904,2.194,296.34,3.25
Y,Y,,0.6001,2.003,75.51,2.84
Y,Y,,0.6190,2.551,172.06,4.08
Y,Y,,0.3447,1.045,80.79,1.07
Y,Y,,0.5138,1.864,26.04,2.54
Y,Y,,0.3238,1.424,157.36,1.7
Y,Y,,0.5821,2.049,323.36,2.93
Y,Y,,0.3258,0.8863,236.36,0.834
Y,Y,,0.4955,2.033,352.36,2.9
Y,Y,,0.6564,2.397,47.56,3.71
Y,Y,,0.7007,2.617,241.16,4.23
Y,Y,,0.4096,1.515,301.85,1.87
Y,Y,,0.4249,1.685,193.75,2.19
Y,Y,,0.3963,1.431,112.94,1.71
Y,Y,,0.3392,1.477,343.84,1.79
Y,Y,,0.5618,2.303,176.47,3.49
Y,Y,,0.6204,2.562,343.33,4.1
Y,Y,,0.5452,1.759,307.78,2.33
Y,Y,,0.7198,2.75,318.40,4.56
Y,Y,,0.2388,1.194,117.70,1.3
Y,Y,,0.6265,2.389,328.03,3.69
Y,Y,,0.6139,2.408,332.21,3.74
Y,Y,,0.6896,2.367,126.23,3.64
Y,Y,,0.7152,2.923,113.59,5
Y,Y,,0.4022,0.8079,223.41,0.726
Y,Y,,0.8005,2.396,278.80,3.71
Y,Y,,0.8659,2.331,46.73,3.56
Y,Y,,0.4252,1.512,300.65,1.86
Y,Y,,0.6632,2.771,352.07,4.61
Y,Y,,0.6495,1.973,90.31,2.77
Y,Y,,0.6448,1.362,108.07,1.59
Y,Y,,0.6727,1.267,65.08,1.43
Y,Y,,0.6366,1.631,272.18,2.08
Y,Y,,0.2231,1.323,6.88,1.52
Y,Y,,0.6042,0.8962,307.50,0.848
Y,Y,,0.7352,2.16,97.47,3.17
Y,Y,,0.6546,1.926,99.38,2.67
Y,Y,,0.6303,2.435,219.94,3.8
Y,Y,,0.4754,1.813,325.10,2.44
Y,Y,,0.6798,2.228,104.55,3.33
Y,Y,,0.5001,2.104,172.30,3.05
Y,Y,,0.6717,2.802,328.38,4.69
Y,Y,,0.5791,2.008,116.78,2.85
Y,Y,,0.8649,2.166,237.87,3.19
Y,Y,,0.3874,1.671,155.64,2.16
Y,Y,,0.4045,1.581,136.72,1.99
Y,Y,,0.3814,1.064,61.74,1.1
Y,Y,,0.5774,1.849,20.63,2.51
Y,Y,,0.7632,2.926,98.16,5
Y,Y,,0.6781,2.904,154.91,4.95
Y,Y,,0.5109,1.974,38.80,2.77
Y,Y,,0.5004,1.935,328.33,2.69
Y,Y,,0.3958,1.707,29.50,2.23
Y,Y,,0.6368,2.294,248.14,3.48
Y,Y,,0.7815,2.072,73.23,2.98
Y,Y,,0.7408,1.697,292.85,2.21
Y,Y,,0.6279,2.721,200.68,4.49
Y,Y,,0.6252,2.59,211.59,4.17
Y,Y,,0.6333,2.163,257.71,3.18
Y,Y,,0.5612,2.402,167.55,3.72
Y,Y,,0.5302,2.215,359.41,3.3
Y,Y,,0.4043,1.211,266.10,1.33
Y,Y,,0.6273,2.566,128.66,4.11
Y,Y,,0.6738,2.065,240.11,2.97
Y,Y,,0.8992,2.447,330.15,3.83
Y,Y,,0.6924,2.814,325.91,4.72
Y,Y,,0.5147,1.729,322.53,2.27
Y,Y,,0.5705,1.707,291.98,2.23
Y,Y,,0.6941,1.814,69.87,2.44
Y,Y,,0.8125,2.436,72.84,3.8
Y,Y,,0.6458,2.297,22.10,3.48
Y,Y,,0.6401,2.63,13.17,4.27
